time, rfu, kV, uA
23.393,0.001107754,9581.992,0
23.518,0.001109195,9578.736,0
23.643,0.001104209,9581.963,0
23.768,0.001089364,9578.723,0
23.893,0.001104614,9581.907,0
24.018,0.001105197,9578.768,0
24.143,0.001105763,9582.053,0
24.268,0.001101684,9578.722,0
24.393,0.001103545,9581.935,0
24.518,0.001097313,9578.657,0
24.644,0.001086839,9582.084,0
24.769,0.001116302,9578.549,0
24.894,0.001097766,9582.189,0
25.019,0.001111526,9578.628,0
25.144,0.001114667,9582.191,0
25.269,0.001119685,9578.557,0
25.394,0.001063884,9582.205,0
25.519,0.001086661,9578.581,0
25.644,0.001092197,9582.157,0
25.769,0.001113582,9578.54,0
25.894,0.001083796,9582.246,0
26.02,0.001087098,9578.482,0
26.145,0.001092537,9582.303,0
26.27,0.001101635,9578.579,0
26.395,0.001086531,9582.237,0
26.52,0.001092715,9578.548,0
26.645,0.001068044,9582.091,0
26.77,0.001113841,9578.691,0
26.895,0.001095354,9582.145,0
27.02,0.001098851,9578.568,0
27.145,0.00107596,9582.201,0
27.271,0.001100583,9578.673,0
27.396,0.001075119,9582.173,0
27.521,0.001094156,9578.625,0
27.646,0.001093962,9582.133,0
27.771,0.00109911,9578.48,0
27.896,0.001083731,9582.278,0
28.021,0.001109988,9578.64,0
28.146,0.001091113,9582.138,0
28.271,0.001120624,9578.591,0
28.396,0.001108645,9582.128,0
28.521,0.001110053,9578.674,0
28.647,0.001083423,9582.015,0
28.772,0.00112302,9578.776,0
28.897,0.001095645,9582.06,0
29.022,0.001108985,9578.831,0
29.147,0.00108883,9582.007,0
29.272,0.001112271,9578.756,0
29.397,0.001103513,9582.009,0
29.522,0.001139354,9578.784,0
29.647,0.001109373,9581.929,0
29.772,0.001100033,9579.023,0
29.898,0.001085868,9582.01,0
30.023,0.001120446,9578.776,0
30.148,0.001093363,9581.962,0
30.273,0.001111041,9578.81,0
30.398,0.001090643,9582.044,0
30.523,0.001115816,9578.844,0
30.648,0.001091177,9582.084,0
30.773,0.001106573,9578.816,0
30.898,0.001093331,9581.949,0
31.023,0.00109537,9578.921,0
31.148,0.001086111,9582.01,0
31.274,0.001109891,9578.874,0
31.399,0.001083326,9581.922,0
31.524,0.001101489,9578.968,0
31.649,0.001120932,9581.954,0
31.774,0.001113339,9578.958,0
31.899,0.001103707,9581.869,0
32.024,0.00110463,9578.972,0
32.149,0.001094302,9581.795,0
32.274,0.001094221,9579.017,0
32.399,0.001100275,9581.931,0
32.524,0.001123182,9578.829,0
32.65,0.001096455,9581.976,0
32.775,0.0010983,9578.923,0
32.9,0.001095824,9581.931,0
33.025,0.001106216,9578.93,0
